"cnpj_base","ordem","dv","matriz_filial","nome_fantasia","situacao_cadastral","data_situacao_cadastral","motivo_situacao_cadastral","nome_cidade_exterior","pais","data_inicio_atividade","cnae_principal","cnae_secundaria","tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","municipio","ddd1","telefone1","ddd2","telefone2","ddd_fax","fax","correio_eletronico","situacao_especial","data_situacao_especial"
"26649502","0001","31","1","ADVANTAGE TECNOLOGIA","02","2016-12-02","00","","","2016-12-02","4751201","4752100,6202300,6203100,6204000,6209100,6311900,7319002,7733100,8211300,8220200","RUA","GUILHERMINO REZENDE","321","","TREZE DE JULHO","49020635","SE","3105","79","98457300","","","","","BRUNO.PORTELA@ADVANTAGE.COM.BR","",NULL
"30032953","0001","00","1","EM SERVICOS ADMINISTRATIVOS","02","2018-03-26","00","","","2018-03-26","8219999","4641902,4642701,4647801,4649499,4689399,6201501,6201502,6202300,6203100,6204000,6209100,6311900,6319400,7911200,8219901,8599603,8599604","RUA","ALDJEBRAN GARCIA MORENO","235","","LUZIA","49045100","SE","3105","79","99003554","","","","","eng.eveline@gmail.com","",NULL
"30035442","0001","34","1","AGP AGENCIA DIGITAL","02","2018-03-26","00","","","2018-03-26","6209100","6201501,6202300,6203100","RUA","CARLOS HAMILTON SILVA GOMES","33","","INACIO BARBOSA","49041040","SE","3105","79","99677908","","","","","","",NULL
"27922602","0001","52","1","","02","2017-06-08","00","","","2017-06-08","1412602","1412601,4723700,4729699,6203100,6204000,6209100,6311900,8020001,8111700,8211300,8219999,8230001,9001999,9003500","RUA","FREI PAULO","956","LOJA  A","SUICA","49052270","SE","3105","79","96100588","79","99468628","","","NAILSOSOUZAJ@GMAIL.COM","",NULL
"30857534","0001","08","1","MSV VIRTUARIA","02","2018-07-05","00","","","2018-07-05","6311900","4617600,6201501,6202300,6203100,6209100,7319003","AVENIDA","JORGE AMADO","1565","SALA  04 E 06","JARDINS","49025330","SE","3105","79","99028001","","","","","","",NULL
"31309595","0001","95","1","XPERTE CONSULTORIA DE MIDIAS","02","2018-08-22","00","","","2018-08-22","7319004","6201501,6203100,7319099","RUA","TERENCIO SAMPAIO","532","","GRAGERU","49025700","SE","3105","79","98104397","","","","","NETOGERENCIADOR@GMAIL.COM","",NULL
"36428629","0001","84","1","BLUEWOLF BR","02","2020-02-19","00","","","2020-02-19","6201501","6202300,6203100,6204000","AVENIDA","DOUTOR JOSE MACHADO DE SOUZA","120","SALA  1222                COND  HORIZONTE JARDINS OF","JARDINS","49025740","SE","3105","79","91487244","","","","","ZINOGABRIEL@GMAIL.COM","",NULL
"35549462","0001","47","1","2D2G CONSULTORIA E SERVICOS EM INFORMATICA","02","2019-11-19","00","","","2019-11-19","9511800","6201501,6201502,6202300,6203100,6204000,6209100,6311900,6319400,8599603,8599604,9512600","RUA","WILSON BARBOSA DE MELO","23","PAVMTOTERREO","ATALAIA","49037590","SE","3105","71","30146549","71","98741258","71","30146549","DANILOHA@HOTMAIL.COM","",NULL
"37286941","0001","43","1","ABRACO","02","2020-06-01","00","","","2020-06-01","6201501","6201502,6202300,6203100,6204000,6209100,8599604","RUA","RIACHUELO","1200","","SAO JOSE","49015160","SE","3105","79","91312720","","","","","CONTATO@SINAPSEVB.COM.BR","",NULL
"37737877","0001","70","1","GIGABIT REDES INTEGRADAS","02","2020-07-15","00","","","2020-07-15","6110803","6190601,6201501,6202300,6203100,6209100,6311900,6319400,9511800","RUA","PROPRIA","413","","CENTRO","49010020","SE","3105","79","41410018","","","","","GIGABIT.REDES@GMAIL.COM","",NULL
"38501168","0001","53","1","","02","2020-09-17","00","","","2020-09-17","6202300","6203100","RUA","PASSOS CABRAL","743","","JARDINS","49025550","SE","3105","79","30278053","","","","","","",NULL
"39609621","0001","02","1","JZONE TECNOLOGIA","02","2020-10-29","00","","","2020-10-29","6204000","6201501,6201502,6202300,6203100,6209100,6311900,6319400,8599603","RUA","VERDE VIOLETA","82","","SOLEDADE","49088260","SE","3105","79","91140958","","","","","ALEXANDRE.GRACA@SOUUNIT.COM.BR","",NULL
"40100351","0001","99","1","DECORAZZI HOME DESIGN","02","2020-12-14","00","","","2020-12-14","4649499","4120400,4213800,4221902,4222701,4311801,4311802,4321500,4322301,4322302,4322303,4330401,4330402,4330403,4330404,4330405,4330499,4399102,4399103,4399104,4399105,6201501,6201502,6202300,6203100,6204000,6209100,7111100,7112000,7119701,7119703,7410202,8230001,9001906,9001999,9102301","RUA","D BOSCO","1147","","SUICA","49050220","SE","3105","79","99866342","","","","","RODOLFOPRADO86@YAHOO.COM.BR","",NULL
"40110832","0001","85","1","ING8 CONSULTORIA EM TI","02","2020-12-14","00","","","2020-12-14","8599603","6190699,6201501,6202300,6203100,6204000,6209100,9511800","AVENIDA","MARIO JORGE MENEZES VIEIRA","1950","CASA","ATALAIA","49035660","SE","3105","79","98357700","","","","","","",NULL
"41142309","0001","01","1","ALAN IT SOLUTIONS","02","2021-03-09","00","","","2021-03-09","6209100","6201501,6201502,6202300,6203100,6204000,6311900,6319400,8599603","AVENIDA","PEDRO PAES DE AZEVEDO","130","","SALGADO FILHO","49020450","SE","3105","41","96869828","","","","","MEUCNPJ@CONTABILIZEI.COM.BR","",NULL
"42233474","0001","23","1","TRADER FACTORY","02","2021-06-08","00","","","2021-06-08","8599604","1830003,4618499,4751201,4751202,6203100,6319400,7490104,7733100","RUA","STA LUZIA","67","SALA  05                  ANDAR 1","CENTRO","49010310","SE","3105","79","88487820","","","","","CONTATO@GYL.COM.BR","",NULL
"42856783","0001","50","1","KTZ INOVA","02","2021-07-26","00","","","2021-07-26","6204000","6201501,6201502,6202300,6203100,6209100,6311900,6319400,8599603,9511800","AVENIDA","LIONS CLUB","338","SALA  B","ATALAIA","49037420","SE","3105","79","99664541","","","","","KREUTZ.DEV@GMAIL.COM","",NULL
"46172411","0001","65","1","JPJM SERVICOS EM TECNOLOGIA DA INFORMACAO EM SAUDE","02","2022-04-27","00","","105","2022-04-27","6202300","6203100,6204000,6209100","RUA","DR JOSE ROBERTO RIBEIRO","70","","GRAGERU","49027090","SE","3105","79","91514969","0000","00000000","","","NILTON.OLIVEIRADEJESUS@GMAIL.COM","",NULL
"46380806","0001","53","1","MARLA LOPES","02","2022-05-13","00","","105","2022-05-13","8599604","5912099,6202300,6203100,6319400,7020400,7319002,7319003,7490104,8599605,8599699","TRAVESSA","LUIZ ALVES DE OLIVEIRA FILHO","30","LOJA  03","SALGADO FILHO","49020420","SE","3105","71","99823628","0000","00000000","","","MARLALOPESCOIMBRA@HOTMAIL.COM","",NULL
"46562135","0001","41","1","LITTLEDEV","02","2022-05-27","00","","105","2022-05-27","6209100","6201501,6201502,6202300,6203100,6204000,6311900,6319400,6399200,8599603,9511800","RUA","RIACHUELO","1200","","SAO JOSE","49015160","SE","3105","79","96808777","","","","","IROLAWAN333@GMAIL.COM","",NULL
"49831790","0001","46","1","","02","2023-03-07","00","","","2023-03-07","6319400","8599604,7319099,6202300,7320300,6203100","AVENIDA","SANTA GLEIDE","871","BLOCO 03, APT 301.","OLARIA","49092125","SE","3105","79","98907701","79","81042458","","","PLATAFORMA.FECHO@GMAIL.COM","",NULL
"50264692","0001","53","1","","02","2023-04-11","00","","105","2023-04-11","6203100","7020400","AVENIDA","PRES TANCREDO NEVES","2061","SALA  101","INACIO BARBOSA","49040490","SE","3105","79","98415984","79","91765257","","","FINANCEIRO@BUILDMATE.COM.BR","",NULL
"50598032","0001","09","1","","02","2023-05-09","00","","","2023-05-09","6201501","6202300,6203100,6204000","","Riachuelo","1200","","SAO JOSE","49015160","SE","3105","79","35001900","","","","","JOAO.VICTORRS.1928@GMAIL.COM","",NULL
"50615964","0001","12","1","FERNANDA TOURINHO - CUIDADOS PALIATIVOS","02","2023-05-10","00","","105","2023-05-10","8599604","4761001,5811500,5912099,6202300,6203100,6319400,7020400,7319002,7319003,7490104,8230001,8599605,8599699","RUA","WILSON BARBOSA DE MELO","23","TERREO01","ATALAIA","49037590","SE","3105","79","32232159","0000","00000000","","","FRCORREIAA@GMAIL.COM","",NULL
"51037031","0001","58","1","ZENITE PAGAMENTOS E ADMINISTRACAO LTDA","02","2023-06-14","00","","105","2023-06-14","7490104","6202300,6203100,6204000,6311900,6319400,6822600,7319003,7490199,7740300","AVENIDA","PEDRO PAES DE AZEVEDO","130","","SALGADO FILHO","49020450","SE","3105","92","81492569","0000","00000000","","","ZNT.CORPORATE@GMAIL.COM","",NULL
"51093891","0001","09","1","","02","2023-06-19","00","","","2023-06-19","6201501","4751201,4753900,4754701,4763601,4763602,4763603,4782201,4789007,4789099,5920100,6201502,6202300,6203100,6209100,6311900,7311400,7319002,7320300,7410202,7410203,7410299,7733100,8230001","RUA","WILSON BARBOSA DE MELO","23","TERREO01","ATALAIA","49037590","SE","3105","79","91622629","","","","","FFDESINGNTECNOLOGIA@GMAIL.COM","",NULL
"07187598","0005","42","2","RM SERVICOS","02","2023-07-14","00","","","2023-07-14","4120400","4221904,4321500,4330404,4651601,4751201,4753900,4757100,4923002,6201501,6203100,6204000,6209100,7112000,7490105,7711000,7810800,7820500,8020001,8121400,8129000,8211300,8220200,8230001,8299701,9511800","RUA","JOAO OURO","51","LOJA  01","JABOTIANA","49095180","SE","3105","86","95438668","","","","","RMSERVICOS0@GMAIL.COM","",NULL
"05276991","0028","73","2","","02","2023-08-28","00","","","2023-08-28","6201501","6202300,6203100,6204000,6209100,6311900,8220200","RUA","GUILHERMINO REZENDE","321","","TREZE DE JULHO","49020635","SE","3105","11","51863097","","","","","WFERREIRA@INDRACOMPANY.COM","",NULL
"52058711","0001","10","1","","02","2023-09-04","00","","105","2023-09-04","8599604","4761001,5811500,6201501,6202300,6203100,6311900,6319400,7020400,7112000,7210000,7312200,7319002","RUA","DES JOSE SOTERO","512","LOJA  A","TREZE DE JULHO","49020110","SE","3105","11","63232576","0000","00000000","","","KSMSLTDA@GMAIL.COM","",NULL
"28956477","0002","45","2","GHF TECNOLOGIA E COMUNICACAO","02","2023-10-09","00","","","2023-10-09","4753900","4530703,4530705,4647801,4649401,4649499,4651601,4651602,4663000,4665600,4673700,4679699,4742300,4744099,4751201,4752100,4754702,4761003,6110803,6110899,6190601,6201501,6202300,6203100,6209100,7319002,7490104,9511800,9512600","RUA","JOSE PACHECO","27","PAVMTOSUPERIOR","JABOTIANA","49095190","SE","3105","79","33030947","75","88547714","","","HAZAEL_SANTOS@HOTMAIL.COM","",NULL
"53533680","0001","75","1","AODEV","02","2024-01-17","00","","105","2024-01-17","6202300","6201501,6201502,6203100,6204000,6209100,6311900,8211300","AVENIDA","RIO BRANCO","186","SALA  203","CENTRO","49010030","SE","3105","11","34511113","0000","00000000","","","GABRIELDEIVIDDEV@GMAIL.COM","",NULL
"53748776","0001","50","1","GABRIEL CHAGAS MELO RIBEIRO","02","2024-02-01","00","","105","2024-02-01","6201501","6201502,6202300,6203100,6204000,6209100,6311900,8599603","RUA","JACINTO UCHOA DE MENDONCA","223","","GRAGERU","49026160","SE","3105","24","98604748","0000","00000000","","","DARCI.ERICA@HOTMAIL.COM","",NULL
"54382584","0001","36","1","EDUKA BRASIL","02","2024-03-19","00","","105","2024-03-19","8599605","3329501,4645101,4647801,4664800,4742300,4743100,4751201,4752100,4753900,4756300,4759899,4761001,4761003,4763601,4773300,4781400,4789007,5811500,6203100,6204000,6209100,7733100,9529105","RUA","JORN PAULO COSTA","188","","ATALAIA","49037340","SE","3105","79","81382613","79","81312811","71","38389530","FINANCEIRO@EDUKABRASIL.COM.BR","",NULL
"55681923","0001","48","1","WSS TECH","02","2024-06-26","00","","105","2024-06-26","6209100","6203100,6204000,8599603","RUA","RIACHUELO","1200","","SAO JOSE","49015160","SE","3105","11","11111111","0000","00000000","","","CNPJ.80HYB@PASSMAIL.NET","",NULL
"54991291","0001","56","1","POP TECH","02","2024-05-03","00","","","2024-05-03","6204000","6201501,6202300,6203100,6209100","RUA","ESTANCIA","818","LOJA  B","CENTRO","49010180","SE","3105","79","98567050","","","","","CONTABILIDADE@POPCITY.COM.BR","",NULL
"57370073","0001","92","1","BUSCA NUTRI","02","2024-09-20","00","","105","2024-09-20","7490104","6203100,6319400,8660700","RUA","MATILDE SILVA LIMA","421","APT   203                 EDIF  TRINIDAD            COND  PRAIA DO CARIBE","LUZIA","49045083","SE","3105","79","99158274","0000","00000000","","","IRISPATRICIANUTRI@GMAIL.COM","",NULL
"59392799","0001","51","1","MAIA SOLUCOES","02","2025-02-10","00","","","2025-02-10","6202300","6201501,6201502,6203100,6204000,6209100,6311900,7319003,8599699","RUA","DR MOACYR LEITE","131","","TREZE DE JULHO","49020285","SE","3105","79","99664336","","","","","GERAL@MAIASOLUCOES.PT","",NULL
"61671716","0001","05","1","JP MARKETING","02","2025-07-09","00","","105","2025-07-09","7319003","4929903,5911102,5920100,6022501,6203100,6204000,6311900,6319400,6391700,7311400,7312200,7319004,7319099,7320300,7420001,7420004,7490105,8230001,8599603,8599604,8599699,9001902","RUA","PROF OSCAR VASCONCELOS","62","CASA  A","JABOTIANA","49095600","SE","3105","79","99092333","0000","00000000","","","JACKPEROLAHINODE@GMAIL.COM","",NULL
"63312858","0001","01","1","MUSTACHE GAME STUDIO","02","2025-10-22","00","","105","2025-10-22","6202300","6203100","TRAVESSA","FREI PAULO","56","","SAO JOSE","49015240","SE","3105","79","30447890","0000","00000000","","","FINANCEIRO@INOVARSOLUCOESCONTABEIS.COM","",NULL
"63621653","0001","08","1","","02","2025-11-11","00","","","2025-11-11","6204000","6202300,6203100,6209100,6201501,6319400,7020400","RUA","JOSUE DE CARVALHO CUNHA","968","","COROA DO MEIO","49035490","SE","3105","71","87675774","","","","","CONTABILIDADE@AGILIZABPO.COM.BR","",NULL
"05285268","0001","30","1","INOVAR SOLUCOES EM TECNOLOGIA","02","2002-09-17","00","","","2002-09-17","6204000","6201501,6202300,6203100,6209100,6311900,6319400,7020400,8599603,8599604","RUA","GERMINIANO MAIA","691","","SALGADO FILHO","49020040","SE","3105","79","30242633","","","79","33027917","SELMO@INOVARSOLUCOES.COM.BR","",NULL
"02558157","0025","30","2","","02","2005-11-03","00","","","2002-08-21","6110801","3314710,3329599,4221904,4221905,4321500,4751201,6110803,6120501,6120599,6190699,6203100,6204000,6209100,6311900,6319400,6399200,7020400,7112000,7490104,7739099,7740300,8020001,8291100,8299799,9511800,9512600,9521500","AVENIDA","BARAO DE MARUIM","304","","CENTRO","49010340","SE","3105","11","34304532","","","","","CADASTRO.FISCAL.BR@TELEFONICA.COM","",NULL
"13350020","0001","34","1","MULTSERV FACILITIES","02","2005-01-08","00","","","1983-12-29","8121400","4221904,4221905,4321500,4322302,4399199,5223100,5240199,5911102,6202300,6203100,6204000,6821802,6822600,7020400,7112000,7220700,7311400,7711000,7739099,7830200,8020001,8111700,8122200,8129000,8130300,8211300,8220200,8230001,8299701,8610102,9511800,9521500,9601701,9601702,9601703","RUA","FREI PAULO","191","","SAO JOSE","49015260","SE","3105","79","32188345","79","32188383","79","32140252","CONTABILIDADE@MULTSERV.NET","",NULL
"07239431","0001","54","1","ATOMO","02",NULL,"00","","","2005-03-01","4751201","6201501,6202300,6203100,9511800","RUA","SAO CRISTOVAO","1508","","GETULIO VARGAS","49055620","SE","3105","79","32117450","79","99382069","79","32225029","ATOMOSERVICOS@HOTMAIL.COM","",NULL
"04121809","0001","22","1","MIKERINOS TECNOLOGIA","02","2005-11-03","00","","","2000-11-01","6311900","6202300,6203100,9511800,6209100,4651601,7820500","RUA","RIACHUELO","1200","","SAO JOSE","49015160","SE","3105","79","91320055","","","","","SANDOVAL.JUNIORR@GMAIL.COM","",NULL
"33683111","0031","14","2","ESCRITORIO DE ARACAJU-SE","02","2004-05-22","00","","","1980-05-08","6209100","6201501,6202300,6203100,6204000,6311900","AVENIDA","MARIO JORGE MENEZES VIEIRA","3028","SALA  A","COROA DO MEIO","49035100","SE","3105","61","20217807","","","","","DANIEL.POLICENA@SERPRO.GOV.BR","",NULL
"47379565","0122","82","2","","02","2005-11-03","00","","","2001-01-30","4751201","6201501,9511800,6204000,7733100,7020400,6209100,6203100","RUA","SANTA CATARINA","311","","SIQUEIRA CAMPOS","49075520","SE","3105","11","21323053","","","","","IBMEVOCE@BR.IBM.COM","",NULL
"09326640","0001","60","1","DOIZIS CONSULTORIA","02","2008-01-29","00","","","2008-01-29","8660700","6201501,6202300,6203100,6204000,6209100,6399200,7020400,7739099,8291100,8550302,8599604,8630599,8690999,9511800","RUA","OLIMPIO DE SOUZA CAMPOS JUNIOR","435","","INACIO BARBOSA","49040840","SE","3105","79","30220819","","","79","21063801","ISMAELAFONSO@YAHOO.COM.BR","",NULL
"10986397","0001","96","1","","02","2009-07-20","00","","","2009-07-20","6209100","6203100,6202300","AVENIDA","FRANCISCO PORTO","978","SALA  101                 ANDAR 1","SALGADO FILHO","49020570","SE","3105","79","30220909","","","","","FINANCEIRO@MA9.COM.BR","",NULL
"20370264","0001","44","1","","02","2022-12-05","00","","","2014-06-02","7490104","4751201,6201501,6201502,6202300,6203100,6204000,6209100,6462000,6613400,6619399,7733100,7740300,8020001,8211300,8291100,8299702,8599604,9511800","RUA","EDSON RIBEIRO","552","","SALGADO FILHO","49020370","SE","3105","79","32224767","79","99620353","79","32224767","JOAOHER@GMAIL.COM","",NULL
"15528578","0001","92","1","PROACAO","02","2012-05-15","00","","","2012-05-15","6822600","8211300,7020400,6202300,8299799,6203100,9511800,6209100","AVENIDA","DOUTOR EDESIO VIEIRA DE MELO","09","LOJA  04","SAO JOSE","49015280","SE","3105","79","30222665","79","96826530","79","33028050","ATENDIMENTO@PROACAO.COM.BR","",NULL
"11533443","0001","64","1","INVENTIONE","02","2010-01-27","00","","","2010-01-27","6201501","6202300,6203100,8599603,6209100","RUA","PASTOR EUCLIDES ARLINDO","575","LOJA  A","PEREIRA LOBO","49052330","SE","3105","79","99712508","","","79","32416690","","",NULL
"17015148","0001","00","1","S4B","02","2012-10-16","00","","","2012-10-16","6201501","6203100,6209100,8599603,9511800,8121400,8130300,8211300,8599604,9700500,1830003,6202300,6311900,8129000,8219901,6399200,6391700,7312200","RUA","LAGARTO","376","","CENTRO","49010390","SE","3105","79","98158545","","","","","LUIZCORUMBA@GMAIL.COM","",NULL
"08154377","0001","07","1","PROINFO","02","2022-08-31","00","","","2006-07-14","6203100","9511800,6311900,6201501,6202300","RUA","ENSEADA","44","","AEROPORTO","49037080","SE","3105","79","32192242","79","32232478","79","32173984","flavio@proacao.com.br","",NULL
"18665731","0001","11","1","IREMARK","02","2013-08-12","00","","","2013-08-12","8020001","4321500,4753900,4759899,6201501,6202300,6203100,6209100,6311900,6821801,7729202,7739099,7810800,8111700,8121400,8211300,8220200,8291100,9512600,9521500","AVENIDA","DOUTOR JOSE MACHADO DE SOUZA","220","SALA  719","JARDINS","49025740","SE","3105","79","98153422","","","","","DIRETORIA@IREMARKSISTEMAS.COM","",NULL
"23092494","0001","87","1","OPTIMIZE SE","02","2015-08-18","00","","","2015-08-18","7112000","3312102,3321000,4120400,4213800,4221902,4221904,4221905,4222701,4223500,4292802,4299501,4311801,4311802,4321500,4322301,4322302,4322303,4329104,4614100,4618499,4651601,4651602,4652400,4669999,4673700,4751201,6201501,6201502,6202300,6203100,6204000,6209100,7111100,7119703,7120100,7210000,7490104,8599603,9512600","RUA","CARLOS GOMES","335","","INACIO BARBOSA","49040080","SE","3105","79","30859544","79","81348640","79","32511969","BRUNO@OPTIMIZESE.COM.BR","",NULL
"23318704","0001","02","1","","02","2015-09-21","00","","","2015-09-21","8211300","4321500,6201501,6202300,6203100,6204000,6209100,6319400,6613400,6619302,7020400,7319002,7319003,7490104,7733100,8220200,8291100,8299702,8599603","AVENIDA","PROF ACRISIO CRUZ","436","LOJA  01","SALGADO FILHO","49020210","SE","3105","79","99528884","","","","","ADM.CONECTACONSULTORIA@GMAIL.COM","",NULL
"24353863","0001","00","1","NYF SISTEMAS E INFORMATICA","02","2023-08-03","00","","","2016-03-10","9511800","6201501,6202300,6203100,6209100","RUA","RONDONIA","408","CASA","SIQUEIRA CAMPOS","49075290","SE","3105","79","88411026","79","31790737","","","CELIO.VIEIRA26@HOTMAIL.COM","",NULL
"22986107","0001","93","1","GETAPP","02","2015-08-03","00","","","2015-08-03","6203100","6201501,6202300,6311900,6319400,7312200,7490104","AVENIDA","GONCALO ROLEMBERG LEITE","1753","APT   604                 COND  RES ATLANTA         EDIF  ATENAS","LUZIA","49045280","SE","3105","79","81263524","","","","","WAGNER.UFS@GMAIL.COM","",NULL
"11250530","0001","04","1","EFISE","02","2009-10-16","00","","","2009-10-16","7112000","4399101,4614100,4669999,4742300,4754703,6201501,6202300,6203100,6204000,6209100,7119703,7119704,8599604","RUA","CORONEL REINALDO TORRES","95","","SAO CONRADO","49042830","SE","3105","79","32514659","79","91624390","79","32514659","JULIO.COSTA@EFISE.COM.BR","",NULL
"09307378","0001","07","1","GLOBALTIC","02","2008-01-16","00","","","2008-01-16","8020001","0161099,3312102,3313999,4520007,6201501,6202300,6203100,6204000,6209100,6311900,6319400,6622300,7490199,7731400,8011101,8130300,9512600","AVENIDA","PAULO VI","239","","INACIO BARBOSA","49040460","SE","3105","79","21050016","","","","","GLOBALTIC@GLOBALTIC.COM.BR","",NULL
"04499861","0002","06","2","DINOTTI","02","2014-08-25","00","","","2014-08-25","6203100","4752100,4751201,4753900,4757100","AVENIDA","HERMES FONTES","1777","SALA  1","GRAGERU","49026020","SE","3105","79","99033512","","","","","andreaudcon@hotmail.com","",NULL
"21771444","0001","09","1","NOVASEG DISTRIBUIDORA DE SEGURANCA","02","2015-01-26","00","","","2015-01-26","4757100","4751201,4753900,4759899,6202300,6203100,7490199","RUA","PARAGUACU","40","PAVMTOTERREO","AMERICA","49080410","SE","3105","79","33036770","","","","","","",NULL
"21718592","0001","51","1","MA TRAVEL VIAGENS E TURISMO","02","2015-01-19","00","","","2015-01-19","8599604","4761001,5811500,6202300,6203100,6209100,6319400,6463800,7020400,7319002,7319003,7319004,7490104,8219999","AVENIDA","JORGE AMADO","1565","SALA  04 06","JARDINS","49025330","SE","3105","79","30274684","79","88009460","79","30274684","G.OLIVEIRA.SANTOS2017@UOL.COM.BR","",NULL
"14076002","0001","79","1","CONNECT TECNOLOGIA","02","2011-08-07","00","","","2011-08-07","9511800","4751201,6201501,6202300,6203100,6204000,6209100,6311900,6319400,8599603","RUA","ZAQUEU BRANDAO","403","","SAO JOSE","49015330","SE","3105","79","41413252","","","","","CONTATO@CONNECTMULTI.COM.BR","",NULL
"26173760","0001","94","1","","02","2016-09-15","00","","","2016-09-15","6201501","6203100,6202300,6201502,6209100,6204000","RUA","CORONEL JOSE PACHECO LIMA","73","","CIDADE NOVA","49070110","SE","3105","79","91550332","79","32158062","","","MARLONASSIS@GMAIL.COM","",NULL
"31456763","0001","75","1","","02","2018-09-10","00","","","2018-09-10","6209100","6201501,6201502,6202300,6203100,6319400,6391700,6493000,6622300,6810201,6821801,6821802,6822600,7020400,7319002,7410202,7810800,8111700,8121400,8211300,8230001,8599603,8599604","AVENIDA","FRANKLIN DE CAMPOS SOBRAL","2185","","GRAGERU","49027000","SE","3105","79","96309147","","","","","SANDOVAL.JUNIOR@GMAIL.COM","",NULL
"36875075","0001","63","1","SOLUCAO DIGITAL","02","2020-04-06","00","","","2020-04-06","6204000","6201501,6202300,6203100,6209100,7312200,7319002,7420001,7739099,8599604","AVENIDA","JORGE AMADO","1565","SALA  04 E 06","JARDINS","49025330","SE","3105","79","99778776","","","","","PAGAMENTOS@ACESSO.NET.BR","",NULL
"41228401","0001","80","1","GRUDA TI","02","2021-03-16","00","","","2021-03-16","6204000","6201501,6202300,6203100,6209100","RUA","SERGIPE","825","SALA  01","SIQUEIRA CAMPOS","49075540","SE","3105","79","98507067","","","","","HAGAR.APP@GMAIL.COM","",NULL
